age,gender,date_first_booking,language_levenshtein_distance,country_destination,first_device_type,id
38,FEMALE,4/9/2012,0,CA,Android Phone,1
31,FEMALE,4/21/2013,0,CA,Android Phone,1
34,MALE,11/14/2013,0,CA,Android Phone,1
29,MALE,11/26/2013,0,CA,Android Phone,1
31,FEMALE,4/11/2014,0,CA,Android Phone,1
29,MALE,4/21/2014,0,CA,Android Phone,1
37,FEMALE,5/19/2014,0,CA,Android Phone,1
30,MALE,5/27/2014,0,CA,Android Phone,1
50,MALE,6/17/2014,0,CA,Android Phone,1
30,FEMALE,6/24/2014,0,CA,Android Phone,1
30,FEMALE,9/14/2011,72.61,DE,Android Phone,1
31,MALE,11/22/2012,72.61,DE,Android Phone,1
21,MALE,7/13/2013,72.61,DE,Android Phone,1
31,MALE,2/13/2015,72.61,DE,Android Phone,1
37,MALE,7/23/2011,92.25,ES,Android Phone,1
52,FEMALE,1/9/2012,92.25,ES,Android Phone,1
33,FEMALE,7/20/2012,92.25,ES,Android Phone,1
25,MALE,7/17/2013,92.25,ES,Android Phone,1
51,FEMALE,5/20/2014,92.25,ES,Android Phone,1
23,MALE,5/31/2014,92.25,ES,Android Phone,1
29,MALE,6/11/2014,92.25,ES,Android Phone,1
37,MALE,8/10/2014,92.25,ES,Android Phone,1
29,MALE,11/17/2014,92.25,ES,Android Phone,1
29,FEMALE,1/31/2012,92.06,FR,Android Phone,1
33,MALE,4/22/2012,92.06,FR,Android Phone,1
34,FEMALE,9/2/2012,92.06,FR,Android Phone,1
35,FEMALE,10/11/2012,92.06,FR,Android Phone,1
29,FEMALE,10/4/2013,92.06,FR,Android Phone,1
30,MALE,12/9/2013,92.06,FR,Android Phone,1
22,FEMALE,6/17/2014,92.06,FR,Android Phone,1
31,FEMALE,6/24/2014,92.06,FR,Android Phone,1
29,MALE,12/9/2014,92.06,FR,Android Phone,1
18,FEMALE,6/5/2014,0,GB,Android Phone,1
35,MALE,6/4/2015,0,GB,Android Phone,1
49,MALE,10/3/2012,89.4,IT,Android Phone,1
28,MALE,7/22/2013,89.4,IT,Android Phone,1
34,FEMALE,1/1/2014,89.4,IT,Android Phone,1
26,MALE,3/25/2014,89.4,IT,Android Phone,1
37,MALE,5/20/2014,89.4,IT,Android Phone,1
32,FEMALE,6/11/2014,89.4,IT,Android Phone,1
66,MALE,6/30/2014,89.4,IT,Android Phone,1
105,MALE,3/27/2013,63.22,NL,Android Phone,1
27,OTHER,7/26/2014,63.22,NL,Android Phone,1
54,FEMALE,4/5/2010,0,US,Android Phone,1
37,FEMALE,4/15/2010,0,US,Android Phone,1
34,FEMALE,5/16/2010,0,US,Android Phone,1
54,FEMALE,9/19/2010,0,US,Android Phone,1
